period,product,product_group,quantity,list_price,net_price
01/09/2021,PRDNCPX8DNL,G5,40016,19.3,18.0949
01/10/2021,PRDS35IX5GJ,G5,40016,19.3,18.64
01/06/2021,PRD2N7TF42O,G5,60016,19.3,18.64
01/07/2021,PRDU00NZY64,G5,10016,19.3,18.0949
01/08/2021,PRD3XJYMHJF,G5,40016,19.3,18.205
01/04/2020,PRDITOG21AW,G5,40016,19.3,18.25
01/03/2022,PRDEY84J666,G5,10016,18.79,18.64
01/01/2022,PRD1DFZSQ9E,G5,30016,18.79,18.64
01/02/2021,PRDGRVBUUKT,G5,250016,19.15,17.707
01/07/2021,PRDCJB8X9PP,G5,950016,19.15,18.31
01/05/2020,PRDIX2SXWCK,G5,210016,19.12,18.1
01/06/2020,PRDOP4PPUPL,G5,1370016,19.15,18.1
01/11/2021,PRD8I2PQAWX,G5,380016,19.15,18.31
01/09/2021,PRDVPFWZ21H,G5,40016,19.15,18.31
01/08/2020,PRDT93U7A9D,G5,460016,19.15,18.31
01/08/2020,PRDCE8I5UW4,G5,980016,19.15,18.0949
01/07/2020,PRD118FUMN3,G5,900016,19.15,18.0949
01/01/2022,PRDOIT16P1V,G5,540016,18.64,18.31
01/09/2020,PRD0W3KP9FH,G5,610016,19.15,18.0949
01/03/2020,PRDRZ7B1784,G5,310016,19.12,18.1
01/06/2021,PRDOA0DJNKN,G5,570016,19.15,18.31
01/05/2020,PRD3YD4FAE7,G5,420016,19.15,18.1
01/12/2020,PRDYU942YTG,G5,790016,19.15,18.0949
01/07/2020,PRDACC11F9O,G5,540016,19.15,18.31
01/11/2020,PRDFJBZYD2K,G5,800016,19.15,18.31
01/08/2021,PRDS90V1ND4,G5,760016,19.15,18.31
01/04/2021,PRD7Z7WJ5W3,G5,1150016,19.15,18.31
01/10/2021,PRDRDKLN84D,G5,1790016,19.15,18.31
01/03/2021,PRDOCW0DP14,G5,160016,19.15,17.707
01/01/2021,PRDVX5KOMV4,G5,260016,19.15,18.0949
01/09/2020,PRDU2DPTWR4,G5,120016,19.15,18.31
01/03/2021,PRDY1MXBZ3F,G5,260016,19.15,18.0949
01/02/2021,PRDM0Z5CPQB,G5,240016,19.15,18.0949
01/10/2020,PRDU4WPGDJ8,G5,800016,19.15,18.31
01/04/2020,PRDG299KMOR,G5,60016,19.12,18.1
01/03/2022,PRDZ5JHUH4C,G5,10016,18.64,18.31
01/10/2020,PRD5V7KUWFU,G5,170016,19.15,18.0949
01/07/2020,PRDPH9RI611,G5,90016,19.15,18.1
01/12/2020,PRDORO38OQ9,G5,220016,19.15,18.31
01/06/2020,PRDBM1VZMYZ,G5,100016,19.15,18.31
01/01/2021,PRDWRTIJOKO,G5,1400016,19.15,17.707
01/12/2021,PRDOS5B5JGE,G5,180016,18.64,18.31
01/02/2022,PRD0EM6BE0T,G5,320016,18.64,18.31
01/12/2021,PRDDTQ3LJIO,G5,30016,17.83,16.846
01/10/2021,PRDXS9F7Z2R,G5,20016,17.14,16.846
01/11/2021,PRDA9U3OADE,G5,60016,17.14,16.846
01/06/2020,PRDYVEE5MAU,G5,210016,17.11,16.846
01/07/2020,PRDOWI231A5,G5,110016,17.11,16.84
01/08/2020,PRD9HT1RWCP,G5,70016,17.11,16.846
01/07/2020,PRD8WJHG9CS,G5,30016,17.11,16.846
01/04/2021,PRDWM095YV2,G5,230016,17.11,16.2292
01/04/2020,PRDZ7KRMXMR,G5,180016,17.11,16.846
01/03/2020,PRDYDAMORTJ,G5,30016,17.14,16.846
01/07/2021,PRDV9R4MV3E,G5,380016,17.11,16.846
01/11/2020,PRDH3OCS4ER,G5,100016,17.11,16.846
01/10/2020,PRDN55KQH5J,G5,240016,17.11,16.846
01/05/2021,PRDYRPPFTMO,G5,100016,17.11,16.846
01/06/2021,PRDRS9MVCBH,G5,190016,17.11,16.846
01/09/2021,PRD2YI1LAJI,G5,80016,17.11,16.846
01/04/2021,PRDA0UGABQL,G5,600016,17.11,16.846
01/08/2021,PRDQY4IJNYD,G5,100016,17.11,16.846
01/12/2020,PRDQPOJZFBF,G5,300016,17.11,16.846
01/12/2020,PRDNH4S1EFU,G6,40016,20.8,20.26
01/10/2020,PRDFDXSMY17,G6,10016,20.8,20.26
01/11/2020,PRDLOKSWMF1,G6,50016,20.8,20.26
01/04/2020,PRD21QFNA3H,G6,20016,20.71,20.26
01/08/2020,PRD2ZTJ4G07,G6,80016,20.71,20.26
01/05/2020,PRDTA44ES1H,G6,14836,20.71,20.26
01/09/2020,PRDJFUTDHDW,G6,50016,20.71,20.26
01/06/2020,PRDEMZQRJVJ,G6,260016,20.71,20.26
01/03/2020,PRDVY412GCW,G6,10016,20.71,20.26
01/07/2020,PRD2718IZXC,G6,160016,20.71,20.26
01/08/2021,PRDCE4P2WPH,G6,10016,21.58,19.24
01/09/2021,PRDSZNWKWK9,G6,20016,20.83,20.26
01/04/2020,PRDMBGV8V9N,G1,5016,16.69,16.501
01/05/2021,PRDO9KSHENH,G1,5016,16.96,16.501
01/12/2020,PRDJLAI1MM6,G1,5016,16.69,16.501
01/06/2021,PRDQEBZ8XQT,G1,5016,16.96,16.501
01/08/2021,PRDJI1SHOUJ,G1,15016,16.96,16.501
01/11/2021,PRD788C9RD3,G1,5016,16.96,16.552
01/05/2021,PRDGCQUXNWQ,G1,5016,16.7107,16.501
01/07/2020,PRDVUCYE781,G1,5016,16.69,16.501
01/02/2021,PRDTNJ4RMV3,G1,5016,16.7107,16.501
01/03/2020,PRDMZTGQAYG,G1,5016,17.11,16.501
01/08/2021,PRDTNVM0KQJ,G1,116,277.5994,277.6
01/11/2020,PRDQSNASK33,G1,66,269.98,269.98
01/08/2021,PRDBX8740UI,G1,116,277.5994,277.6
01/11/2020,PRDISNQ0WBU,G1,66,269.98,269.98
01/10/2020,PRDBGBZG7SD,G1,56,224.59,224.59
01/06/2021,PRD42KPUV1L,G1,36,230.8477,230.86
01/04/2021,PRDL2XM7980,G1,36,224.59,224.59
01/06/2021,PRDZPTVD6GA,G1,816,144.13,187.87
01/06/2021,PRD5RYEZ4PG,G1,216,144.13,155.2366
01/10/2020,PRDK8N7R32Y,G1,66,182.86,182.83
01/12/2020,PRDX4DFEW8Y,G1,64,182.86,224.59
01/08/2021,PRDVHG1F2MM,G1,116,187.8658,187.87
01/08/2021,PRDCEKYZ58D,G1,96,187.8658,182.86
01/02/2021,PRD0PKKQOSM,G1,116,182.86,182.86
01/05/2021,PRDPJFMOA4S,G1,116,182.86,190.936
01/10/2020,PRDBWQ784KO,G1,66,182.86,149.47
01/03/2021,PRD1DTR50D2,G1,96,182.86,182.86
01/09/2020,PRD0969O8LE,G1,216,149.47,149.47
01/12/2020,PRD21C29H1D,G1,66,149.47,182.554
01/11/2020,PRDNGJ0LZ3N,G3,42,268.78,241
01/10/2020,PRD9SZVIM93,G3,52,268.78,268.78
01/03/2021,PRDSGM9O8A2,G3,60,226.63,268.78
01/09/2020,PRD081KRXT9,G3,66,226.63,244.408
01/12/2020,PRDH8B6WZMN,G3,66,226.63,226.63
01/05/2021,PRD8XXPCBRT,G3,66,226.63,268.78
01/10/2020,PRDVO6117XH,G3,366,211.9,211.9
01/11/2020,PRDCVQZB80M,G3,216,211.9,226.63
01/09/2020,PRD5245CSTU,G2,36,183.16,183.16
01/07/2021,PRDVNB8B4LG,G2,516,113.53,113.53
01/09/2021,PRDGDTJJADD,G2,516,113.53,113.53
01/02/2021,PRD4FHLB3M8,G2,316,113.53,113.53
01/11/2020,PRD3QO6UIWC,G2,316,113.53,113.53
01/10/2020,PRDCIVZSL5E,G2,416,113.53,113.53
01/01/2021,PRDHC0BQFGH,G2,66,149.71,149.71
01/11/2021,PRD1IRQENHE,G2,66,175.12,175.12
01/03/2021,PRDW10UA0RU,G2,116,149.71,122.95
01/06/2021,PRDO9QWTTZQ,G2,116,153.7213,122.95
01/07/2021,PRD52JRJVUW,G2,416,126.1585,133
01/10/2021,PRDTF9W8J2V,G2,28,175.12,252.13
01/07/2021,PRDPESIPFRW,G2,66,153.7213,153.73
01/03/2022,PRD0G8MLTOM,G2,76,175.12,175.12
01/12/2021,PRDM1HMYYWT,G2,36,175.12,252.13
01/01/2022,PRDE6LLN8TZ,G2,32,175.12,252.13
01/11/2020,PRD7DPAA358,G2,66,149.71,149.71
01/11/2020,PRD8J93CDBH,G2,116,149.71,149.71
01/03/2022,PRDXW09TN4P,G2,36,175.12,252.13
01/02/2022,PRD24T6NLNS,G2,30,175.12,252.13
01/01/2022,PRDSKX57UNH,G2,40,252.13,175.12
01/02/2022,PRD47F3RAXM,G2,32,252.13,175.12
01/08/2021,PRDYV7L0DTT,G2,32,188.1748,188.17
01/05/2021,PRDNZL3F788,G2,66,149.71,149.71
01/10/2020,PRD0THVPS90,G2,36,209.05,217
01/03/2021,PRDZSNVQVEK,G1,74,267.13,267.13
01/05/2021,PRDKD85HQWP,G1,66,267.13,267.13
01/05/2021,PRDCQFPSGQZ,G1,66,267.13,406.3144
01/01/2021,PRD5BJ6W8BK,G1,96,249.55,249.55
01/01/2021,PRDBSBP2TDB,G1,156,249.55,249.55
01/03/2021,PRD7QQIKWUB,G1,34,250.54,203.62
01/10/2020,PRDOIEGKULU,G1,52,250.54,250.54
01/09/2020,PRDDYA5LG7Y,G1,36,250.54,250.54
01/03/2021,PRD6NBTDCFF,G1,26,250.54,250.54
01/12/2020,PRDKAPGN8R3,G1,66,203.62,203.62
01/10/2020,PRDBIQ9JF69,G1,28,203.62,250.54
01/06/2021,PRD26QCBJH4,G1,166,209.2486,209.26
01/03/2021,PRD075E0VLP,G1,66,203.62,203.62
01/11/2020,PRDM4RY1MQO,G1,116,438.25,438.25
01/10/2020,PRDR4BZ3Z47,G1,56,522.7,522.7
01/12/2020,PRDKUNFGLDE,G2,36,208.21,200.5
01/10/2020,PRDT2NEFA52,G2,36,208.21,169.75
01/05/2021,PRDOY9V9KMH,G2,66,158.11,164.9896
01/03/2022,PRDM7DYUSOF,G1,26,232.87,232.87
01/02/2021,PRDRC62G2ON,G1,28,169.51,169.51
01/11/2021,PRDOGYXW01Z,G1,26,232.87,162.16
01/08/2021,PRD4ILMYB5A,G1,56,174.1153,140.5
01/05/2021,PRDW0BPVSIV,G1,26,174.1153,142.48
01/10/2021,PRDOYERDOH7,G1,334,107.47,103.72
01/08/2021,PRD1OV0WABR,G1,266,105.58,103.72
01/10/2020,PRDLN2EL5Q6,G1,1316,105.58,105.58
01/02/2022,PRDQAS2FVY9,G1,416,107.47,103.72
01/09/2021,PRDYX01N8JZ,G1,366,105.58,103.72
01/01/2022,PRDBX1XHCPN,G1,398,107.47,103.72
01/12/2020,PRD7DBFTHGK,G1,66,138.79,138.79
01/05/2021,PRDC4F759YI,G1,144,138.79,138.79
01/03/2021,PRDC2I5AJTI,G1,208,114.22,103.21
01/05/2021,PRDX6O16QXO,G1,26,172.5703,172.57
01/12/2021,PRDP5A8RICC,G1,36,230.74,160.72
01/09/2020,PRD9U58CXVN,G1,36,168.01,168.01
01/10/2021,PRDG67J1VIQ,G1,56,230.74,172.57
01/01/2022,PRD9H1VYILI,G1,32,230.74,233.5
01/11/2020,PRDQNPKIL6L,G1,28,168.01,168.01
01/11/2021,PRD8747U6T7,G1,28,230.74,230.755
01/09/2020,PRD1PLDVM2D,G1,66,137.59,135.3604
01/03/2021,PRDCMRLKKZI,G1,28,137.59,168.01
01/10/2021,PRDP1RJBC4B,G1,116,160.72,141.25
01/12/2020,PRDIPUX33HO,G1,36,137.59,151
01/09/2020,PRDIL2U2MVL,G1,66,137.59,137.59
01/10/2021,PRDDM0FAEH3,G1,66,160.72,160.72
01/02/2021,PRDNK5ZR39P,G1,116,137.59,125.44
01/11/2021,PRDL05L1G0J,G1,116,160.72,161.5222
01/11/2020,PRD8PSH4M38,G1,36,137.59,137.59
01/02/2021,PRD2K78JHQZ,G1,116,137.59,136
01/07/2021,PRDY0JWY5U8,G1,66,141.2377,148.99
01/02/2021,PRDB0MQB5I5,G1,108,137.59,137.59
01/12/2021,PRDVUID4HTC,G1,96,129.91,160.72
01/10/2021,PRD8WAVLK67,G1,116,129.91,129.91
01/01/2022,PRD2I9785C5,G1,254,129.91,129.91
01/12/2021,PRD5RYHYZQH,G1,116,129.91,129.91
01/12/2020,PRDJN5GC53Z,G1,216,123.58,123.58
01/12/2020,PRD0V83LVDH,G1,32,123.52,124.4614
01/09/2021,PRDSQBUJ7WU,G1,66,142.66,142.66
01/10/2020,PRDBBRTAFYP,G1,50,123.52,123.1546
01/07/2021,PRD1LHRZKOO,G1,66,126.7456,126.2956
01/02/2022,PRDS3DI91K6,G1,66,142.66,139.36
01/09/2021,PRD9V3KGK1S,G1,120,142.66,123.49
01/09/2021,PRDPLJG654F,G1,62,142.66,124.87
01/02/2022,PRDN84Q6AZT,G3,32,161.05,161.05
01/06/2021,PRD0SZE14IX,G3,26,121.7707,121.78
01/08/2021,PRDF3TMXTA2,G3,66,100.6042,100.6
01/05/2021,PRDDOZQNXU7,G3,2216,74.11,81.0001
01/10/2020,PRDZY03C397,G3,116,84.46,84.46
01/09/2021,PRD3RCXPIM9,G3,36,138.55,102.76
01/03/2021,PRD6SE5FEXX,G3,56,85.39,102.76
01/01/2022,PRDCDP2JTMZ,G1,32,175.81,177.85
01/01/2022,PRD8J1QJYRV,G1,32,175.81,156.61
01/06/2021,PRD08GIVK8P,G1,116,109.2253,106.51
01/07/2021,PRDH2WHLXWV,G1,1266,137.14,137.14
01/05/2021,PRD5SY0CXYR,G1,66,137.14,187.03
01/05/2021,PRDXTGWXHDK,G1,66,182.05,182.05
01/12/2020,PRDU67X6C8Q,G1,96,182.05,182.05
01/07/2021,PRDEHT8HOAG,G1,116,187.0315,181
01/09/2021,PRDNGQWDF43,G1,116,213.67,172
01/11/2020,PRD2O69TUQR,G1,66,182.05,182.05
01/01/2022,PRDN2SRBZQU,G1,26,263.17,196.15
01/11/2020,PRDAMALF36O,G1,26,190.9,190.9
01/01/2022,PRDWO0G5MGC,G1,36,263.17,263.17
01/12/2021,PRDWFYIZZHV,G1,1216,120.25,120.25
01/09/2021,PRDQ9829P0U,G1,62,120.25,182.56
01/08/2021,PRD9E79171X,G1,66,160.1176,155.92
01/11/2021,PRD2NTRJY1S,G1,116,182.56,182.56
01/10/2020,PRDUWO95TJ6,G1,66,155.92,155.92
01/09/2021,PRD8FEV9JNC,G1,66,182.56,160.12
01/05/2021,PRD4VCCOVAR,G1,128,155.92,155.92
01/10/2020,PRDUVQ0B6W1,G1,216,127.93,127.93
01/03/2022,PRDJP4MAZVP,G1,96,147.1,147.1
01/02/2022,PRDTIZA2T8H,G1,176,147.1,147.1
01/09/2021,PRDGBXEZGX0,G1,76,147.1,160.12
01/12/2021,PRDJEOOE2OA,G1,116,147.1,160.12
01/03/2022,PRD9EJ5VHZ5,G1,216,147.1,147.1
01/10/2021,PRDE5QIYB9V,G1,26,265.57,219.25
01/08/2021,PRDUIITV2SS,G1,26,197.9392,197.95
01/09/2020,PRD1SGHWIKE,G1,116,157.3,157.3
01/05/2021,PRDGA6LG121,G1,80,157.3,157.3
01/10/2021,PRD5AJFMWNC,G1,66,184.18,229.624
01/11/2021,PRD7Q6HCYBE,G1,96,184.18,161.53
01/04/2021,PRDTWAKFABV,G1,26,157.3,192.64
01/02/2022,PRD4D6WSTJ8,G1,66,184.18,184.18
01/03/2022,PRDZ1FZDSTI,G1,36,247.36,247.36
01/11/2021,PRD8ZTYOBMR,G1,66,171.91,171.91
01/06/2021,PRDE8V75YHF,G1,66,150.9403,150.94
01/05/2021,PRDLF0PX9BC,G1,104,147.01,147.01
01/07/2021,PRDIJA4SO33,G1,64,150.9403,150.94
01/11/2021,PRDRTMWO4RX,G1,26,228.1,186.868
01/10/2021,PRDH2LM5NXF,G1,26,228.1,189.256
01/10/2021,PRDGN1DQP1B,G1,36,228.1,158.86
01/03/2021,PRDQDFC3XFY,G1,36,166.12,166
01/03/2021,PRD3G4MSJ1T,G1,36,166.12,166.12
01/02/2022,PRDV5G6FNV0,G1,38,228.1,190
01/10/2021,PRDIZ52FWEL,G1,26,228.1,228.1
01/03/2022,PRDLNBCYZKE,G1,48,228.1,158.95
01/06/2021,PRDVGQVL793,G1,46,170.6236,166.12
01/02/2022,PRD6T7G31QM,G1,152,158.95,128.5
01/02/2022,PRDSLP1KC48,G1,66,158.95,158.95
01/09/2021,PRDVQMHG3TC,G1,116,158.95,136.3
01/12/2021,PRDU333PMRU,G1,166,158.95,158.95
01/08/2021,PRDKSV6H3O7,G1,66,139.6927,139.69
01/01/2022,PRDGW9F40PI,G1,216,128.5,133.27
01/01/2022,PRDDDTK2NAG,G2,36,250.81,179.86
01/07/2021,PRD0DKXWV4U,G2,136,152.9488,142
01/11/2021,PRDGM24RQMI,G2,216,140.56,145.84
01/02/2021,PRD657VSTQ7,G2,56,226.57,226.57
01/11/2020,PRDL73LT3YZ,G2,26,226.57,226.57
01/02/2022,PRDJUX5NU9U,G2,66,216.52,211.3
01/10/2020,PRDLEQFLD0U,G2,66,171.01,171.01
01/12/2021,PRD7MW62HT5,G1,66,145.36,145.36
01/03/2021,PRDQU4P5I20,G1,56,132.79,161.98
01/02/2022,PRDATQEGQ7E,G1,76,145.36,145.36
01/11/2021,PRD5IBEB25U,G3,116,118.63,118.63
01/06/2021,PRDU7VD4DR7,G3,116,107.6494,104.8
01/10/2020,PRDFF4105JD,G3,76,104.98,104.8
01/08/2021,PRDRS6KSQ6S,G3,116,107.6494,106.39
01/11/2021,PRDNMSCZJG1,G3,116,118.63,118.63
01/09/2021,PRDJGNOQJIF,G3,116,162.79,143.2
01/10/2020,PRDSK30HQT1,G3,416,117.85,91.12
01/07/2021,PRDB1CXQNNJ,G3,216,120.9055,145
01/02/2021,PRDO1JCOXET,G3,216,117.85,139
01/03/2022,PRDFF5WQON9,G4,26,114.88,82.63
01/05/2020,PRD84AH5ZZZ,G4,56,88,74.32
01/10/2021,PRDA7V63XIK,G4,56,114.88,90.16
01/03/2022,PRDB3QOV21R,G4,36,114.88,82.63
01/05/2021,PRDLV41HH44,G4,26,88,74.32
01/03/2020,PRDQ69WXEW6,G4,26,88,88
01/02/2021,PRDIFB2BVF8,G4,36,88,88
01/04/2020,PRDRR8AYWCO,G4,36,88,88
01/04/2020,PRDKOL840BT,G4,56,88,88
01/04/2020,PRD9EQCJ96G,G4,216,58.99,52
01/11/2021,PRDWUFLRLE9,G4,616,58.99,58.99
01/03/2020,PRDBU0B7RSY,G4,416,58.99,52
01/05/2020,PRDOJS2690L,G4,216,58.99,63.25
01/12/2020,PRDC59R0YSQ,G4,516,58.99,55.12
01/12/2020,PRDRGGOW68F,G4,616,58.99,58.99
01/03/2020,PRDSM8YK001,G4,416,58.99,51.61
01/05/2020,PRDF0VDRG4T,G4,616,58.99,52
01/06/2021,PRD99XV6JC3,G4,236,55.12,76.06
01/12/2021,PRDXODZD7ST,G4,328,57.7,55.12
01/09/2021,PRD3HB8564T,G4,216,57.7,72.8263
01/09/2020,PRD2PL617N9,G4,1016,55.12,58.99
01/06/2021,PRDK8JSJT8J,G4,326,55.12,55.12
01/09/2021,PRDVCPHD52I,G4,216,57.7,60.25
01/04/2021,PRDOXV5GM1B,G4,256,55.12,63.25
01/03/2022,PRDXGHPGPJM,G4,36,57.7,114.88
01/03/2020,PRD61XWUHDO,G4,1016,55.12,51.61
01/11/2021,PRD410ROJ8A,G4,1016,57.7,71.9023
01/07/2021,PRDRI0TZ9I4,G4,326,55.12,55.12
01/09/2021,PRDIJM5KDOI,G4,66,57.7,76.06
01/11/2021,PRD3QHRPDSS,G4,1816,57.7,57.7
01/06/2021,PRDXH8766UW,G4,326,55.12,55.12
01/12/2020,PRDIGI2X6PK,G4,816,55.12,58.99
01/02/2021,PRDYF269Q1J,G4,52,55.12,88
01/05/2021,PRDDNP9WI38,G4,1066,55.12,55.12
01/09/2020,PRDEJXSA88T,G4,56,55.12,74.32
01/10/2020,PRDY3ZBBKJP,G4,1016,55.12,51.61
01/11/2020,PRDKEPTCO8Q,G4,1182,55.12,55.12
01/08/2021,PRDWETUJT0J,G4,586,55.12,55.12
01/07/2020,PRDM6QH8IWI,G4,316,55.12,63.25
01/08/2020,PRD60ML0H3Z,G4,76,55.12,74.32
01/04/2021,PRDXJVZ202P,G4,616,55.12,55
01/09/2021,PRDNNFWXM42,G4,276,57.7,68.44
01/10/2021,PRDCJG15E83,G4,326,57.7,55.12
01/04/2021,PRDHRI0VUWU,G4,856,55.12,58.99
01/02/2022,PRDIRFD5JAI,G4,216,57.7,60.25
01/11/2021,PRD3G29IWMW,G4,166,82.63,82.63
01/03/2021,PRD2BG2QEF3,G4,96,74.32,74.32
01/06/2021,PRDLPT4C1OT,G4,76,76.0696,76.06
01/02/2021,PRDIUN7TW6T,G4,96,74.32,74.32
01/10/2021,PRDLWNGZ9KO,G4,216,82.63,64.66
01/03/2022,PRDC02A776L,G4,66,82.63,82.63
01/04/2020,PRD9FMA1ALK,G4,76,74.32,74.32
01/03/2022,PRDBMOOEJQJ,G4,214,82.63,64.66
01/11/2021,PRD6TE2S0G2,G4,96,82.63,82.63
01/04/2021,PRDQ4PHC4JQ,G4,96,74.32,74.32
01/05/2021,PRDCU894MHT,G4,216,64.6675,63.25
01/04/2020,PRD6V5PZQZ3,G4,216,63.25,63.25
01/10/2020,PRDBAX0GV13,G4,216,63.25,58
01/04/2020,PRDIVDG1XCU,G4,216,63.25,64.15
01/03/2022,PRDAID1FYSY,G4,216,68.44,68.44
01/06/2021,PRD6FBES6LN,G4,246,64.6675,62.05
01/06/2020,PRDAQIZWNZA,G4,216,63.25,63.25
01/06/2020,PRDZYK1ERFX,G4,36,63.25,58.99
01/02/2022,PRDRR2ACYXS,G4,216,68.44,68.44
01/03/2021,PRDEYJO7NDV,G4,216,63.25,56.5
01/11/2020,PRDI7WVC699,G4,116,63.25,58.99
01/04/2021,PRDBH13TKFZ,G4,216,63.25,55
01/12/2021,PRDTW9BU6FB,G4,216,68.44,58.99
01/12/2021,PRD323XK3GB,G4,216,68.44,68.44
01/03/2020,PRD4YQXHCOX,G4,216,63.25,63.25
01/08/2021,PRDRFAFMMR9,G4,156,64.6675,58.99
01/01/2022,PRD1FAWWQ1A,G4,216,68.44,58.6
01/01/2022,PRDHJXTDU45,G4,216,68.44,68.44
01/03/2022,PRD3D8JG553,G4,136,68.44,60.31
01/11/2020,PRD4QGLICVU,G4,466,63.25,63.25
01/12/2021,PRDR3I1YQAL,G4,36,68.44,58.99
01/03/2021,PRD5TE95HD0,G4,416,63.25,65.941
01/03/2020,PRD00ECAL8Y,G4,216,63.25,63.25
01/04/2020,PRDOPHQPCQV,G4,196,63.25,58.99
01/05/2020,PRD7LUFRNH6,G4,36,63.25,58.99
01/06/2021,PRD3N0OUPNO,G4,2016,51.61,48.4
01/08/2020,PRD3N80QL4V,G4,916,51.61,51.61
01/04/2020,PRDLEXRRLHN,G4,2016,51.61,38.5
01/07/2020,PRD9YT9SX5R,G4,616,51.61,51.61
01/06/2021,PRDTDE0A0HU,G4,516,51.61,51.61
01/10/2021,PRD76YFQZWA,G4,216,56.83,51.61
01/10/2020,PRD4UI5BR9E,G4,116,51.61,63.25
01/09/2021,PRDENMFRVTG,G4,516,56.83,51.61
01/04/2021,PRDMZBL3TWH,G4,216,51.61,56.5
01/05/2020,PRD9Y9E5ODT,G4,416,51.61,53.5
01/08/2020,PRDD7CGGLOE,G4,1016,51.61,54.4
01/09/2021,PRDV1HCVN24,G4,216,56.83,58.99
01/11/2020,PRD54SKMYVO,G4,116,51.61,63.25
01/04/2020,PRD5XO39CBX,G4,816,51.61,53.5
01/05/2020,PRDWHJJPC4M,G4,816,51.61,51.61
01/01/2021,PRDH8GQBS7B,G4,56,51.61,63.25
01/05/2021,PRD9FN1ORFI,G4,2016,51.61,56.5
01/06/2020,PRDPT48I3FL,G4,616,51.61,51.61
01/07/2021,PRDZJFIBU5C,G4,516,51.61,51.61
01/08/2021,PRD84TNUKPV,G4,516,51.61,51.61
01/04/2020,PRDKY0YPT1H,G4,816,51.61,51.61
01/01/2021,PRDWVG4JR6H,G4,616,51.61,53.5
01/03/2021,PRDXU6LCYR8,G4,96,51.61,74.32
01/12/2020,PRDUT2M57DN,G4,116,51.61,63.25
01/04/2021,PRDOUBPQ2NY,G4,96,51.61,74.32
01/09/2020,PRDBZV8DI86,G4,2016,51.61,54.85
01/12/2021,PRDQ13SCEAG,G4,1216,53.41,42.16
01/10/2021,PRDLIP6CZTH,G4,16816,53.41,42.16
01/06/2021,PRDOXK1VYM1,G4,8016,42.85,64.3339
01/07/2021,PRD2K4J3TAQ,G4,8016,42.85,63.9682
01/05/2021,PRDEJG54PJC,G4,12016,42.85,64.3339
01/10/2020,PRD3GUT1SYS,G4,4016,42.85,64.96
01/09/2020,PRD855BMIBF,G4,8016,42.85,64.96
01/08/2020,PRDL7G55MEN,G4,8016,42.85,64.96
01/07/2020,PRDF9AE474F,G4,4016,42.85,64.96
01/10/2021,PRD8NYLAFAF,G4,236,55.12,64.66
01/04/2021,PRDEJVO0DMQ,G4,8566,48.4,48.4
01/04/2021,PRDXZT1FNOV,G4,6212,48.4,48.4
01/04/2020,PRDDWCMLAYV,G1,26,304,304
01/07/2021,PRDPUH79CYI,G1,26,312.64,338.926
01/11/2021,PRDBWXG311P,G1,26,498.58,341.23
01/07/2021,PRDRY8N70ZN,G1,26,312.64,312.64
01/03/2020,PRD9GO0A4TV,G1,26,304,356.026
01/01/2022,PRDT43STDOY,G1,36,498.58,416.53
01/04/2021,PRDFCH3FC8M,G1,40,304,386.14
01/07/2020,PRDYS33FIVT,G1,40,304,364.6549
01/06/2020,PRD17I4DVQ4,G1,46,304,253
01/06/2020,PRDK1Q35B7X,G1,30,304,211
01/06/2020,PRDFPV47W7K,G1,46,304,300.4
01/09/2020,PRD19GSQS6E,G1,28,304,304
01/03/2020,PRD27J1JR5M,G1,46,304,304
01/02/2022,PRDBNSW16XM,G1,56,498.58,606.049
01/08/2020,PRDWEE3J7SI,G1,32,304,304
01/03/2020,PRD03BNKI89,G1,26,304,304
01/06/2020,PRDLZK5UY7W,G1,40,304,304
01/02/2022,PRDHAA54XQ3,G1,36,498.58,498.58
01/05/2021,PRDYAPQ4NG0,G1,36,304,304
01/10/2020,PRDKIXYSRX7,G1,26,304,383.338
01/08/2021,PRDGWESV31E,G1,28,312.64,394.7449
01/03/2020,PRD2VKIHZP0,G1,36,304,304.525
01/10/2020,PRDR431SNT1,G1,28,304,304
01/05/2021,PRDCNBIGKDS,G1,40,312.64,312.64
01/04/2020,PRD29SULIKU,G1,56,304,304
01/03/2021,PRD3Q10JCZN,G1,36,304,304
01/05/2021,PRDVTWJYAKX,G1,34,304,304
01/10/2021,PRDHZQDWX4T,G1,26,498.58,498.58
01/11/2020,PRDRYVEMUGU,G1,58,304,304
01/07/2021,PRD7HW7PQH1,G1,26,312.64,401.5
01/03/2020,PRD9DWM2LLV,G1,36,304,304
01/07/2020,PRDOTC6IJII,G1,36,304,304
01/06/2021,PRD9S1N2H2R,G1,28,312.64,330.9751
01/11/2021,PRD5PL93PJT,G1,36,498.58,498.58
01/12/2020,PRDBYNTZHR0,G1,48,304,253
01/06/2021,PRDLIH2DAXH,G1,26,312.64,312.64
01/01/2021,PRDF913I9MG,G1,36,304,392.89
01/03/2020,PRDKUEUCVRE,G1,32,304,304
01/03/2020,PRDNJCAUCS8,G1,34,304,304
01/10/2020,PRDLA2U40IN,G1,36,304,304
01/05/2020,PRDW7PZZDTQ,G1,36,304,300.844
01/01/2021,PRDZZZ3U5OC,G1,26,304,304
01/04/2020,PRD4HTEP3AX,G1,36,304,253
01/03/2020,PRD8F59A2XD,G1,46,304,304
01/02/2021,PRDK69N5Y4U,G1,42,304,304
